Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,104011,18 X 7- 8,ACHIVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,100,3.03,"2,080.00"
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,111161,6.00-9 ( Wide Wall ),ACHIVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,30,1.149,792
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,119161,6.50-10 ( Wide Wall ),ACHIVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,60,3.048,"2,112.00"
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,125011,7.00-12,ACHIVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,30,2.073,"1,371.00"
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,135011,8.15-15,ACHIVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,30,3.072,"1,779.00"
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,138161,8.25-15 (WIDE),ACHIVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,80,10.864,"7,248.00"
12.09.2023,KSA,206,KSA-BTE- ORDER 03,714,154161,10.00-20 (WIDE),ACHIVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.2622,26,6.8172,"4,362.80"
