Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118012,200 / 50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,20,0.78,478
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111012,6.00 - 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.4,0.0377,3,0.11,79.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119012,6.50 - 10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,3,0.15,102.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125012,7.00 - 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,11,0.76,507.1
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135012,8.15 - 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,12,1.23,723.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119013,6.50 - 10,ACHIEVER PLUS,NM-Off White,STD,5,3 LAYER,32.3,0.0488,2,0.1,64.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,110014,140/55-9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,9.85,0.0179,14,0.25,137.9
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104014,18 X 7 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.61,408
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118014,200 / 50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,23.6,0.0388,22,0.85,519.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111014,6.00 - 9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,26.4,0.0377,6,0.23,158.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119014,6.50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,5,3 LAYER,32.9,0.0488,4,0.2,131.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135014,8.15 - 15,ACHIEVER PLUS,NM-Off White,CLIP,7,3 LAYER,59.2,0.1024,2,0.2,118.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,10,0.52,349
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,4,0.29,187.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,16,0.51,332.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,5,0.26,176.5
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,10,0.17,103
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,10,0.19,103.95
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,17,0.54,357
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,120044,23 X 9 - 10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,9,0.59,403.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,711072,16 X 6 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,4,0.1,76.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,712072,16 X 7 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.2,0.0302,4,0.12,88.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,712074,16 X 7 X 10 1/2,RUNNERBAND,NM,TRACTION,-,2 LAYER,22.4,0.0302,4,0.12,89.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,715074,18 X 7 X 12 1/8,RUNNERBAND,NM,TRACTION,-,2 LAYER,25.7,0.0382,4,0.15,102.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,166321,31x10-20 (WAP) , SKID SOLID,BLACK,STD,7.5,2 LAYER,62.7,0.1446,6,0.87,376.2
