date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
20.07.2023,USA-RRL,146,RRL ORDER 18 (R2),,,16X5X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.2,0.0216,46,0.99,745.2
20.07.2024,USA-RRL,146,RRL ORDER 18 (R2),649,711071,16X6X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,248,6.42,"4,860.80"
20.07.2025,USA-RRL,146,RRL ORDER 18 (R2),649,715071,18X7X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,220,8.4,"5,786.00"
20.07.2026,USA-RRL,146,RRL ORDER 18 (R2),649,721071,22X12X16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,40,3.92,"2,596.00"
20.07.2027,USA-RRL,146,RRL ORDER 18 (R2),649,722071,22x8-16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,16,1.04,686.4
20.07.2028,USA-RRL,146,RRL ORDER 18 (R2),649,723071,22x9-16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,16,1.17,777.6
20.07.2029,USA-RRL,146,RRL ORDER 18 (R2),649,711073,16X6X10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,19.7,0.0259,130,3.37,"2,561.13"
20.07.2030,USA-RRL,146,RRL ORDER 18 (R2),649,715073,18X7X12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,52,1.99,"1,383.20"
20.07.2031,USA-RRL,146,RRL ORDER 18 (R2),649,721073,22X12X16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,64.4,0.0259,14,0.36,901.6
