date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,120012,23 X 9 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,4,0.25,178
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125012,7.00 X 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,6,0.41,276.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,126012,23 X 10 - 12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,4,0.31,202.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,135012,8.15 x 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,10,1.02,603
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,138012,8.25 x 15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1232,6,0.74,487.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,136012,28 X 12 1/2 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,4,0.54,336.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,139012,3.00 X 15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,4,0.63,414
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM-Off White,STD,3,3 LAYER,17,0.0232,4,0.09,68
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111013,6.00 X 9,ACHIEVER PLUS,NM-Off White,STD,4,3 LAYER,25.4,0.0377,2,0.08,50.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,103014,16 X 6 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,15.4,0.0244,4,0.1,61.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,104014,18 X 7 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,20.4,0.0303,4,0.12,81.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,118014,200 / 50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,23.6,0.0388,8,0.31,188.8
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,111014,6.00 X 9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,26.4,0.0377,8,0.3,211.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,120014,23 X 9 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,43.6,0.0627,6,0.38,261.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125014,7.00 X 12,ACHIEVER PLUS,NM-Off White,CLIP,5,3 LAYER,45.3,0.0691,10,0.69,453
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,126014,23 X 10 - 12,ACHIEVER PLUS,NM-Off White,CLIP,8,3 LAYER,49.7,0.0774,6,0.46,298.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,119041,6.50 X 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,10,0.52,349
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125041,7.00 X 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,4,0.29,187.6
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,2,0.05,33.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,125042,7.00 X 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,2,0.21,139.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,135052,8.15 x 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,10,1.06,606
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,136052,28 X 12 1/2 - 15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,4,0.55,308.4
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,138052,8.25 x 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,6,0.83,535.2
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,166321,31x10-20 (WAP),SKID SOLID,BLACK,STD,7.5,2 LAYER,62.7,0.1446,2,0.29,125.4
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,165321,31x10-16 (WAP),SKID SOLID,BLACK,STD,6,2 LAYER,74.8,0.1446,3,0.43,224.4
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,712072,16 x 7 - 10 1/2,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,-,-,0,-,-
24.07.2023,TUK-FFL,147,TURKEY OREDR 17,651,712074,16 x 7 - 10 1/2,RUNNER BAND,NM,TRACTION,,2 LAYER,-,-,0,-,-
